Name                                     Stmts   Miss  Cover
------------------------------------------------------------
deckard/__init__.py                         80      0   100%
deckard/__main__.py                         98      7    93%
deckard/attack/__init__.py                   4      0   100%
deckard/attack/base.py                     933    260    72%
deckard/attack/declarations.py              25      0   100%
deckard/attack/pytorch.py                   23      0   100%
deckard/attack/torch_utils.py               70      7    90%
deckard/data/__init__.py                    23      2    91%
deckard/data/anjana.py                     205      3    99%
deckard/data/base.py                       641     44    93%
deckard/data/declarations.py                14      0   100%
deckard/data/fairness.py                   105      0   100%
deckard/data/pytorch.py                    343     14    96%
deckard/data/sample.py                      78      0   100%
deckard/data/survival.py                    55      0   100%
deckard/detector/__init__.py                 2      0   100%
deckard/detector/base.py                   119      7    94%
deckard/experiment/__init__.py              14      0   100%
deckard/experiment/base.py                 487    150    69%
deckard/experiment/survival.py             144      0   100%
deckard/experiment/torch_experiment.py      99      5    95%
deckard/file.py                             98      2    98%
deckard/layers/__init__.py                  17      0   100%
deckard/layers/compile_results.py           84      2    98%
deckard/layers/optimize.py                 410     81    80%
deckard/layers/pareto.py                   157      7    96%
deckard/layers/plot.py                     216      2    99%
deckard/layers/progress_bar.py             314     15    95%
deckard/layers/survival.py                 226     65    71%
deckard/model/__init__.py                   28      2    93%
deckard/model/anjana.py                     12      0   100%
deckard/model/base.py                      537    160    70%
deckard/model/declarations.py               25      0   100%
deckard/model/defend.py                    495     33    93%
deckard/model/fairness.py                  412     17    96%
deckard/model/pytorch.py                   449    106    76%
deckard/model/survival.py                  221      6    97%
deckard/plot/__init__.py                    44      2    95%
deckard/plot/declarations.py                 6      0   100%
deckard/plot/seaborn_plots.py              111     15    86%
deckard/plot/survival.py                   153     30    80%
deckard/plot/yellowbrick_plots.py          450    274    39%
deckard/score/__init__.py                   28      0   100%
deckard/score/anjana.py                     47      0   100%
deckard/score/attack.py                    156     15    90%
deckard/score/base.py                      222      0   100%
deckard/score/data.py                       99      1    99%
deckard/score/declarations.py               24      0   100%
deckard/score/declarations_fairness.py      10      0   100%
deckard/score/declarations_survival.py       5      0   100%
deckard/score/fairness.py                  211      0   100%
deckard/score/pytorch.py                    14      1    93%
deckard/score/survival.py                   45      2    96%
deckard/utils.py                           574    124    78%
------------------------------------------------------------
TOTAL                                     9462   1461    85%
