systime, gpstime, latitude, longitude, altitude, speed, heading, hpdop, vdop, pdop
1411812120.70751, 1411812118.00, 41.178010, -8.598393, 123.9, 0.062, 165.9900, 1.2, 2.0, 2.3
1411812121.67887, 1411812119.00, 41.178010, -8.598395, 123.9, 0.062, 164.4400, 1.2, 2.0, 2.3
1411812123.64304, 1411812121.00, 41.178010, -8.598395, 124.1, 0.057, 162.7300, 1.2, 2.0, 2.3
1411812124.68079, 1411812122.00, 41.178008, -8.598395, 124.2, 0.062, 163.2700, 1.1, 1.5, 1.8
1411812125.58702, 1411812123.00, 41.178008, -8.598395, 124.3, 0.062, 160.4000, 1.1, 1.5, 1.8
1411812126.62840, 1411812123.00, 41.178008, -8.598395, 124.4, 0.062, 160.4000, 1.1, 1.5, 1.8
1411812128.72480, 1411812126.00, 41.178008, -8.598395, 124.5, 0.057, 155.3500, 1.1, 1.5, 1.8
1411812129.66499, 1411812127.00, 41.178008, -8.598395, 124.5, 0.057, 160.6800, 1.1, 1.5, 1.8
1411812130.70983, 1411812128.00, 41.178008, -8.598395, 124.6, 0.062, 154.5200, 1.1, 1.5, 1.8
1411812131.53573, 1411812129.00, 41.178008, -8.598395, 124.6, 0.057, 158.9800, 1.1, 1.5, 1.8
1411812132.07784, 1411812129.00, 41.178008, -8.598395,, 0.057, 158.9800,,,
1411812133.72086, 1411812131.00, 41.178008, -8.598395, 124.6, 0.057, 151.6000, 1.1, 1.5, 1.8
1411812134.67187, 1411812132.00, 41.178008, -8.598395, 124.6, 0.062, 151.7200, 1.1, 1.5, 1.8
1411812135.58181, 1411812133.00, 41.178007, -8.598395, 124.7, 0.062, 155.5900, 1.1, 1.5, 1.8
1411812136.64181, 1411812133.00, 41.178007, -8.598395, 124.7, 0.062, 155.5900, 1.1, 1.5, 1.8
1411812138.66789, 1411812135.00, 41.178007, -8.598395, 124.8, 0.057, 154.4200, 1.1, 1.5, 1.8
1411812139.65187, 1411812137.00, 41.178007, -8.598395, 124.8, 0.057, 161.3600, 1.1, 1.5, 1.8
1411812140.70125, 1411812138.00, 41.178007, -8.598395, 124.9, 0.062, 162.0300, 1.1, 1.5, 1.8
1411812141.66952, 1411812139.00, 41.178007, -8.598395, 124.9, 0.057, 158.8500, 1.1, 1.5, 1.8
1411812143.68762, 1411812141.00, 41.178007, -8.598395, 125.0, 0.062, 162.7700, 1.1, 1.5, 1.8
1411812144.68040, 1411812142.00, 41.178007, -8.598395, 125.0, 0.062, 161.5600, 1.1, 1.5, 1.8
1411812145.68479, 1411812143.00, 41.178005, -8.598395, 125.1, 0.062, 165.9000, 1.1, 1.5, 1.8
1411812146.71772, 1411812144.00, 41.178005, -8.598395, 125.1, 0.057, 160.3600, 1.1, 1.5, 1.8
1411812148.02040, 1411812145.00, 41.178005, -8.598395, 125.1, 0.062, 162.8100, 1.1, 1.5, 1.8
1411812148.72309, 1411812146.00, 41.178005, -8.598395, 125.2, 0.062, 163.7300, 1.1, 1.5, 1.8
1411812149.69674, 1411812147.00, 41.178005, -8.598395, 125.2, 0.062, 164.4800, 1.1, 1.5, 1.8
1411812150.70096, 1411812148.00, 41.178005, -8.598395, 125.2, 0.062, 168.7800, 1.1, 1.5, 1.8
1411812151.71303, 1411812149.00, 41.178005, -8.598395, 125.3, 0.062, 165.7700, 1.1, 1.5, 1.8
1411812153.70926, 1411812151.00, 41.178005, -8.598395, 125.3, 0.057, 168.7500, 1.1, 1.5, 1.8
1411812154.73052, 1411812152.00, 41.178005, -8.598395, 125.3, 0.062, 166.9300, 1.1, 1.5, 1.8
1411812155.67540, 1411812153.00, 41.178005, -8.598395, 125.4, 0.062, 167.6200, 1.1, 1.5, 1.8
1411812156.65160, 1411812154.00, 41.178005, -8.598395, 125.4, 0.062, 166.6200, 1.1, 1.5, 1.8
1411812158.66308, 1411812155.00, 41.178005, -8.598395, 125.4, 0.062, 168.1000, 1.1, 1.5, 1.8
1411812159.68847, 1411812157.00, 41.178005, -8.598395, 125.4, 0.062, 175.4800, 1.1, 1.5, 1.8
1411812160.68674, 1411812158.00, 41.178005, -8.598393, 125.5, 0.062, 172.7700, 1.1, 1.5, 1.8
1411812161.73663, 1411812159.00, 41.178005, -8.598393, 125.5, 0.067, 176.5100, 1.1, 1.5, 1.8
1411812163.65885, 1411812160.00, 41.178005, -8.598393, 125.5, 0.057, 174.4000, 1.1, 1.5, 1.8
1411812164.67596, 1411812162.00, 41.178005, -8.598393, 125.5, 0.062, 168.4800, 1.1, 1.5, 1.8
1411812165.72919, 1411812163.00, 41.178005, -8.598393, 125.5, 0.062, 175.6100, 1.1, 1.5, 1.8
1411812166.67680, 1411812164.00, 41.178005, -8.598393, 125.5, 0.062, 170.0200, 1.1, 1.5, 1.8
1411812168.04700, 1411812165.00, 41.178005, -8.598393, 125.5, 0.057, 171.1300, 1.1, 1.5, 1.8
1411812168.69080, 1411812166.00, 41.178005, -8.598393, 125.6, 0.057, 169.6400, 1.1, 1.5, 1.8
1411812169.71181, 1411812167.00, 41.178005, -8.598393, 125.6, 0.057, 170.6800, 1.1, 1.5, 1.8
1411812170.69153, 1411812168.00, 41.178005, -8.598393, 125.6, 0.062, 170.9500, 1.1, 1.5, 1.8
1411812171.73138, 1411812169.00, 41.178005, -8.598392, 125.6, 0.051, 169.4600, 1.1, 1.5, 1.8
1411812173.72917, 1411812171.00, 41.178005, -8.598392, 125.7, 0.057, 169.1600, 1.1, 1.5, 1.8
1411812174.66705, 1411812172.00, 41.178005, -8.598392, 125.7, 0.062, 171.4900, 1.1, 1.5, 1.8
1411812175.72269, 1411812173.00, 41.178007, -8.598392, 125.7, 0.062, 168.4500, 1.1, 1.5, 1.8
1411812176.69009, 1411812174.00, 41.178007, -8.598392, 125.7, 0.051, 161.6100, 1.1, 1.5, 1.8
1411812178.64375, 1411812175.00, 41.178007, -8.598392, 125.7, 0.062, 166.1800, 1.1, 1.5, 1.8
1411812179.67739, 1411812177.00, 41.178007, -8.598390, 125.7, 0.057, 157.6800, 1.1, 1.5, 1.8
1411812180.67547, 1411812178.00, 41.178007, -8.598390, 125.7, 0.057, 163.2500, 1.1, 1.5, 1.8
1411812181.72196, 1411812179.00, 41.178007, -8.598390, 125.7, 0.057, 171.7800, 1.1, 1.5, 1.8
1411812183.71149, 1411812181.00, 41.178007, -8.598390, 125.6, 0.057, 166.4700, 1.1, 1.5, 1.8
1411812184.67543, 1411812182.00, 41.178007, -8.598390, 125.7, 0.057, 161.8600, 1.1, 1.5, 1.8
1411812185.68142, 1411812183.00, 41.178007, -8.598390, 125.7, 0.057, 167.4400, 1.1, 1.5, 1.8
1411812186.67096, 1411812184.00, 41.178007, -8.598390, 125.7, 0.057, 162.8000, 1.1, 1.5, 1.8
1411812188.68371, 1411812186.00, 41.178007, -8.598390, 125.7, 0.057, 164.2100, 1.1, 1.5, 1.8
1411812189.70620, 1411812187.00, 41.178007, -8.598390, 125.8, 0.062, 168.1800, 1.1, 1.5, 1.8
1411812190.69392, 1411812188.00, 41.178007, -8.598388, 125.8, 0.067, 159.8800, 1.1, 1.5, 1.8
1411812191.67624, 1411812189.00, 41.178007, -8.598388, 125.8, 0.057, 165.0800, 1.1, 1.5, 1.8
1411812193.62581, 1411812190.00, 41.178007, -8.598388, 125.9, 0.057, 164.9100, 1.1, 1.5, 1.8
1411812194.67140, 1411812192.00, 41.178007, -8.598388, 125.9, 0.057, 163.8800, 1.1, 1.5, 1.8
1411812195.71577, 1411812193.00, 41.178007, -8.598388, 125.9, 0.062, 162.0100, 1.1, 1.5, 1.8
1411812196.72989, 1411812194.00, 41.178007, -8.598388, 126.0, 0.062, 165.7700, 1.1, 1.5, 1.8
1411812198.05985, 1411812195.00, 41.178007, -8.598388, 126.0, 0.062, 170.3600, 1.1, 1.5, 1.8
1411812198.71056, 1411812196.00, 41.178007, -8.598388, 126.0, 0.062, 171.8700, 1.1, 1.5, 1.8
1411812199.70403, 1411812197.00, 41.178007, -8.598388, 126.1, 0.062, 169.3400, 1.1, 1.5, 1.8
1411812200.69930, 1411812198.00, 41.178007, -8.598388, 126.1, 0.062, 171.8800, 1.1, 1.5, 1.8
1411812201.71273, 1411812199.00, 41.178007, -8.598388, 126.2, 0.062, 172.5300, 1.1, 1.5, 1.8
1411812203.68930, 1411812201.00, 41.178007, -8.598388, 126.4, 0.062, 172.7500, 1.1, 1.5, 1.8
1411812204.69691, 1411812202.00, 41.178007, -8.598388, 126.4, 0.062, 173.4300, 1.1, 1.5, 1.8
1411812205.69964, 1411812203.00, 41.178007, -8.598388, 126.5, 0.067, 173.6400, 1.1, 1.5, 1.8
1411812206.66880, 1411812204.00, 41.178007, -8.598388, 126.6, 0.062, 172.7500, 1.1, 1.5, 1.8
1411812208.65690, 1411812205.00, 41.178007, -8.598388, 126.7, 0.062, 172.3700, 1.1, 1.5, 1.8
