gpstime,altitude,speed,heading,hpdop,vdop,pdop,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,lat
1411812118.00,123.9,0.062,165.9900,1.2,2.0,2.3,-0.019531,0.019531,0.0039063,-0.58984,0.042969,9.918,41.178010
1411812119.00,123.9,0.062,164.4400,1.2,2.0,2.3,-0.017578,0.015625,0.0,-0.58203,0.19141,9.9492,41.178010
1411812121.00,124.1,0.057,162.7300,1.2,2.0,2.3,-0.019531,0.019531,0.0039063,-0.57813,-0.09375,10.1719,41.178010
1411812122.00,124.2,0.062,163.2700,1.1,1.5,1.8,-0.015625,0.017578,0.0039063,-0.55859,-0.082031,10.1992,41.178008
1411812123.00,124.3,0.062,160.4000,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.55078,0.050781,10.0391,41.178008
1411812123.00,124.4,0.062,160.4000,1.1,1.5,1.8,-0.021484,0.017578,0.0019531,-0.44531,-0.082031,9.9453,41.178008
1411812126.00,124.5,0.057,155.3500,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.46484,0.039063,9.8125,41.178008
1411812127.00,124.5,0.057,160.6800,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.44531,-0.023438,9.8672,41.178008
1411812128.00,124.6,0.062,154.5200,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.53125,0.066406,9.9492,41.178008
1411812129.00,124.6,0.057,158.9800,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.51953,0.078125,10.0664,41.178008
1411812129.00,0,0.057,158.9800,0,0,0,-0.017578,0.017578,0.0019531,-0.57422,-0.10938,10.1484,41.178008
1411812131.00,124.6,0.057,151.6000,1.1,1.5,1.8,-0.015625,0.015625,0.0039063,-0.53516,0.042969,10.0586,41.178008
1411812132.00,124.6,0.062,151.7200,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.5,-0.011719,9.9805,41.178008
1411812133.00,124.7,0.062,155.5900,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.52344,0.0039063,9.9258,41.178007
1411812133.00,124.7,0.062,155.5900,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.54688,0.089844,9.7148,41.178007
