gpstime,altitude,speed,heading,hpdop,vdop,pdop,gyro_x,gyro_y,gyro_z,acc_x,acc_y,acc_z,mag_x,mag_y,mag_z,long
1411812118.00,123.9,0.062,165.9900,1.2,2.0,2.3,-0.019531,0.019531,0.0039063,-0.58984,0.042969,9.918,-6.625,-39.375,-49.0,-8.598393
1411812119.00,123.9,0.062,164.4400,1.2,2.0,2.3,-0.017578,0.015625,0.0,-0.58203,0.19141,9.9492,-6.125,-38.75,-49.0,-8.598395
1411812121.00,124.1,0.057,162.7300,1.2,2.0,2.3,-0.019531,0.019531,0.0039063,-0.57813,-0.09375,10.1719,-6.0,-38.5,-49.5,-8.598395
1411812122.00,124.2,0.062,163.2700,1.1,1.5,1.8,-0.015625,0.017578,0.0039063,-0.55859,-0.082031,10.1992,-6.25,-38.875,-49.25,-8.598395
1411812123.00,124.3,0.062,160.4000,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.55078,0.050781,10.0391,-6.125,-39.0,-48.875,-8.598395
1411812123.00,124.4,0.062,160.4000,1.1,1.5,1.8,-0.021484,0.017578,0.0019531,-0.44531,-0.082031,9.9453,-6.125,-39.375,-48.875,-8.598395
1411812126.00,124.5,0.057,155.3500,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.46484,0.039063,9.8125,-5.875,-39.5,-48.375,-8.598395
1411812127.00,124.5,0.057,160.6800,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.44531,-0.023438,9.8672,-5.875,-39.125,-48.875,-8.598395
1411812128.00,124.6,0.062,154.5200,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.53125,0.066406,9.9492,-5.875,-38.875,-48.75,-8.598395
1411812129.00,124.6,0.057,158.9800,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.51953,0.078125,10.0664,-5.875,-39.0,-48.625,-8.598395
1411812129.00,0,0.057,158.9800,0,0,0,-0.017578,0.017578,0.0019531,-0.57422,-0.10938,10.1484,-5.875,-38.875,-48.5,-8.598395
1411812131.00,124.6,0.057,151.6000,1.1,1.5,1.8,-0.015625,0.015625,0.0039063,-0.53516,0.042969,10.0586,-5.75,-38.75,-48.375,-8.598395
1411812132.00,124.6,0.062,151.7200,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.5,-0.011719,9.9805,-5.5,-38.5,-48.75,-8.598395
1411812133.00,124.7,0.062,155.5900,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.52344,0.0039063,9.9258,-5.5,-38.625,-48.875,-8.598395
1411812133.00,124.7,0.062,155.5900,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.54688,0.089844,9.7148,-5.75,-38.625,-49.125,-8.598395
1411812135.00,124.8,0.057,154.4200,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.61328,0.0625,9.8984,-5.875,-38.625,-49.25,-8.598395
1411812137.00,124.8,0.057,161.3600,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.64844,0.17188,10.0469,-5.875,-39.0,-49.375,-8.598395
1411812138.00,124.9,0.062,162.0300,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.65625,-0.039063,10.1211,-5.75,-39.25,-49.5,-8.598395
1411812139.00,124.9,0.057,158.8500,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.58594,-0.058594,10.1602,-5.75,-39.25,-49.5,-8.598395
1411812141.00,125.0,0.062,162.7700,1.1,1.5,1.8,-0.019531,0.015625,0.0019531,-0.54688,0.050781,10.0547,-5.75,-39.5,-49.5,-8.598395
1411812142.00,125.0,0.062,161.5600,1.1,1.5,1.8,-0.019531,0.017578,0.0019531,-0.46094,0.015625,9.9375,-5.875,-39.625,-49.375,-8.598395
1411812143.00,125.1,0.062,165.9000,1.1,1.5,1.8,-0.013672,0.013672,0.0019531,-0.48438,0.058594,9.8438,-5.875,-39.5,-49.375,-8.598395
1411812144.00,125.1,0.057,160.3600,1.1,1.5,1.8,-0.017578,0.015625,0.0039063,-0.53516,0.015625,9.8164,-5.875,-39.625,-49.25,-8.598395
1411812145.00,125.1,0.062,162.8100,1.1,1.5,1.8,-0.017578,0.015625,0.0039063,-0.58594,0.089844,9.9961,-5.625,-39.5,-49.375,-8.598395
1411812146.00,125.2,0.062,163.7300,1.1,1.5,1.8,-0.015625,0.015625,0.0039063,-0.55469,0.070313,10.0156,-5.5,-39.25,-49.25,-8.598395
1411812147.00,125.2,0.062,164.4800,1.1,1.5,1.8,-0.019531,0.019531,0.0019531,-0.51563,-0.16016,10.1563,-5.625,-39.375,-49.25,-8.598395
1411812148.00,125.2,0.062,168.7800,1.1,1.5,1.8,-0.015625,0.015625,0.0019531,-0.49609,-0.0078125,10.0547,-5.5,-39.25,-49.375,-8.598395
1411812149.00,125.3,0.062,165.7700,1.1,1.5,1.8,-0.023438,0.019531,0.0,-0.43359,-0.046875,10.0742,-5.5,-39.125,-49.625,-8.598395
1411812151.00,125.3,0.057,168.7500,1.1,1.5,1.8,-0.015625,0.015625,0.0039063,-0.46875,-0.011719,9.8867,-5.5,-39.25,-49.75,-8.598395
1411812152.00,125.3,0.062,166.9300,1.1,1.5,1.8,-0.015625,0.017578,0.0,-0.57422,-0.027344,9.75,-5.625,-39.25,-49.875,-8.598395
1411812153.00,125.4,0.062,167.6200,1.1,1.5,1.8,-0.019531,0.019531,0.0019531,-0.64844,-0.0039063,9.8477,-5.625,-39.0,-50.0,-8.598395
1411812154.00,125.4,0.062,166.6200,1.1,1.5,1.8,-0.015625,0.013672,0.0019531,-0.58203,0.17969,10.0352,-5.5,-38.875,-49.625,-8.598395
1411812155.00,125.4,0.062,168.1000,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.64063,-0.11328,10.1289,-5.625,-38.875,-49.625,-8.598395
1411812157.00,125.4,0.062,175.4800,1.1,1.5,1.8,-0.017578,0.017578,0.0,-0.66016,-0.042969,10.0859,-5.5,-38.625,-49.5,-8.598395
1411812158.00,125.5,0.062,172.7700,1.1,1.5,1.8,-0.017578,0.015625,0.0,-0.59375,0.074219,10.0508,-5.25,-38.75,-49.375,-8.598393
1411812159.00,125.5,0.067,176.5100,1.1,1.5,1.8,-0.019531,0.017578,0.0078125,-0.57813,-0.011719,9.9844,-5.25,-38.625,-49.0,-8.598393
1411812160.00,125.5,0.057,174.4000,1.1,1.5,1.8,-0.015625,0.011719,0.0,-0.62891,0.11328,9.7617,-5.125,-38.75,-48.875,-8.598393
1411812162.00,125.5,0.062,168.4800,1.1,1.5,1.8,-0.019531,0.019531,0.0019531,-0.64063,0.011719,9.8711,-5.125,-38.5,-48.75,-8.598393
1411812163.00,125.5,0.062,175.6100,1.1,1.5,1.8,-0.017578,0.013672,0.0019531,-0.62891,0.16016,9.9648,-5.0,-38.625,-48.5,-8.598393
1411812164.00,125.5,0.062,170.0200,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.5625,0.074219,10.0195,-5.125,-38.625,-48.5,-8.598393
1411812165.00,125.5,0.057,171.1300,1.1,1.5,1.8,-0.019531,0.017578,0.0039063,-0.58984,-0.085938,10.1484,-5.125,-38.75,-48.625,-8.598393
1411812166.00,125.6,0.057,169.6400,1.1,1.5,1.8,-0.015625,0.017578,0.0019531,-0.52734,0.023438,10.1289,-5.375,-38.625,-48.5,-8.598393
1411812167.00,125.6,0.057,170.6800,1.1,1.5,1.8,-0.019531,0.017578,0.0019531,-0.4375,0.054688,10.0781,-5.5,-38.75,-48.375,-8.598393
1411812168.00,125.6,0.062,170.9500,1.1,1.5,1.8,-0.017578,0.015625,0.0039063,-0.47656,0.0078125,9.9219,-5.625,-38.875,-48.375,-8.598393
1411812169.00,125.6,0.051,169.4600,1.1,1.5,1.8,-0.015625,0.017578,0.0039063,-0.49219,-0.097656,9.7422,-5.75,-38.875,-48.625,-8.598392
1411812171.00,125.7,0.057,169.1600,1.1,1.5,1.8,-0.017578,0.019531,0.0039063,-0.46875,0.050781,9.7891,-5.75,-39.0,-48.625,-8.598392
1411812172.00,125.7,0.062,171.4900,1.1,1.5,1.8,-0.015625,0.011719,0.0019531,-0.48047,0.19141,10.0156,-5.875,-38.875,-48.5,-8.598392
1411812173.00,125.7,0.062,168.4500,1.1,1.5,1.8,-0.019531,0.015625,0.0039063,-0.53516,-0.10938,10.0781,-5.875,-38.875,-48.75,-8.598392
1411812174.00,125.7,0.051,161.6100,1.1,1.5,1.8,-0.017578,0.015625,0.0,-0.51953,-0.050781,10.2031,-6.125,-38.875,-48.75,-8.598392
1411812175.00,125.7,0.062,166.1800,1.1,1.5,1.8,-0.017578,0.015625,0.0019531,-0.55078,0.039063,9.9961,-6.125,-39.125,-48.875,-8.598392
1411812177.00,125.7,0.057,157.6800,1.1,1.5,1.8,-0.017578,0.017578,0.0019531,-0.49609,0.0,9.9453,-6.125,-39.0,-49.125,-8.598390
1411812178.00,125.7,0.057,163.2500,1.1,1.5,1.8,-0.013672,0.013672,0.0039063,-0.51953,-0.011719,9.7422,-6.125,-39.125,-49.375,-8.598390
1411812179.00,125.7,0.057,171.7800,1.1,1.5,1.8,-0.019531,0.017578,0.0,-0.55859,-0.039063,9.8672,-6.125,-39.125,-49.25,-8.598390
1411812181.00,125.6,0.057,166.4700,1.1,1.5,1.8,-0.017578,0.017578,0.0,-0.66406,0.09375,10.0156,-5.875,-39.125,-49.375,-8.598390
1411812182.00,125.7,0.057,161.8600,1.1,1.5,1.8,-0.015625,0.017578,0.0019531,-0.66406,0.18359,10.1133,-5.875,-39.375,-49.625,-8.598390
1411812183.00,125.7,0.057,167.4400,1.1,1.5,1.8,-0.017578,0.019531,0.0019531,-0.67188,-0.070313,10.2539,-5.875,-39.375,-49.75,-8.598390
