param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
alpha_,accuracy,-0.09281310279383619,0.9113638157308642,0.035224686040431295,-0.16185221879981232,-0.023773986787860038,0.8505668930490996,0.9765063881643165,0.0,-2.63488800687405,0.008416504787774575,6.892563050447775
alpha_,attack.init.eps,0.5446388886889347,1.7239857192145231,0.02909778955668295,0.48760826912811045,0.6016695082497591,1.6284168238712582,1.8251633835309673,0.0,18.717534802015447,3.562620468006102e-78,257.2774526023038
alpha_,data.sample.random_state,-0.0008490437983344675,0.9991513165373638,0.004242381363396684,-0.009163958479275898,0.0074658708826069635,0.9908779026195145,1.0074938099832509,0.0,-0.20013377525651685,0.8413759588483082,0.2491774992026264
alpha_,dummy_cifar,-0.24816780574583647,0.7802290053821045,804230.0217736415,-1576262.1261300065,1576261.6297943948,0.0,inf,0.0,-3.085781418586308e-07,0.9999997537902648,3.552056076545501e-07
alpha_,dummy_cifar100,-0.094833417993951,0.909524432253954,804230.0217736427,-1576261.9727956213,1576261.7831287852,0.0,inf,0.0,-1.1791827639660368e-07,0.9999999059148278,1.3573621775199748e-07
alpha_,dummy_mnist,-0.36519054444137133,0.6940643881662979,804230.0217736425,-1576262.2431527472,1576261.5127716584,0.0,inf,0.0,-4.5408718221682774e-07,0.9999996376908481,5.227017114079089e-07
alpha_,dummy_nvidia-l4,-0.024550439732699166,0.9757484711850849,1451631.4904174407,-2845145.464592824,2845145.4154919446,0.0,inf,0.0,-1.6912308595371734e-08,0.9999999865059301,1.946782780195729e-08
alpha_,dummy_nvidia-tesla-p100,-0.4259766889484125,0.6531315671268741,1451631.490417438,-2845145.8660190683,2845145.0140656903,0.0,inf,0.0,-2.9344685049916947e-07,0.9999997658632885,3.377879120624713e-07
alpha_,dummy_nvidia-tesla-v100,-0.3036602894967737,0.7381115681174278,1451631.490417437,-2845145.7437026664,2845145.1363820876,0.0,inf,0.0,-2.0918552091306034e-07,0.9999998330941026,2.4079433062145056e-07
alpha_,model.trainer.batch_size,-1.4119548268051964e-05,0.9999858805514124,3.074916920334033e-06,-2.0146274687359487e-05,-8.09282184874444e-06,0.9999798539282475,0.9999919072108981,0.0,-4.59184707550347,4.39340254723392e-06,17.796229876337517
alpha_,model.trainer.nb_epoch,-0.0009786028689358563,0.9990218758066945,0.0005019925102516232,-0.0019624901095378917,5.284371666179101e-06,0.9980394343150831,1.0000052843856286,0.0,-1.9494371906969938,0.05124323677308979,4.286494583552576
alpha_,predict_proba_time,0.4965473326585757,1.6430386004438895,0.018353418911298144,0.460575292599255,0.5325193727178964,1.5849855532188069,1.703217948621857,0.0,27.05475939160889,3.357448306712584e-161,533.0830580896396
alpha_,Intercept,-7.067589298499135,0.0008522852399426174,741455.2001894659,-1453232.5561105877,1453218.4209319905,0.0,inf,0.0,-9.532051696033875e-06,0.999992394523119,1.0972425505052533e-05
beta_,Intercept,1.6217718099397898,5.062051368509571,0.0212755503797524,1.5800724974442075,1.663471122435372,4.855307795884328,5.2775982769105765,0.0,76.22702026468862,0.0,inf
