param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
mu_,accuracy,-0.10959856666852645,0.8961938251688296,0.05485589611503299,-0.21711414739366178,-0.0020829859433911246,0.8048380938906943,0.9979191819663259,0.0,-1.9979359454578576,0.04572360500833867,4.450917034634023
mu_,attack.init.eps,0.552057518896991,1.7368228899852085,,,,,,0.0,,,
mu_,data.sample.random_state,0.001688149632880004,1.0016895753596387,0.00468006450892732,-0.007484608249941677,0.010860907515701684,0.9925433316804526,1.0109201012769589,0.0,0.36071076149908265,0.7183156790796006,0.47731008850742745
mu_,dummy_cifar,-0.2753070859651496,0.7593389050972469,,,,,,0.0,,,
mu_,dummy_cifar100,-0.06912021062060109,0.9332144910420581,,,,,,0.0,,,
mu_,dummy_mnist,-0.39061419815065024,0.6766411550980751,,,,,,0.0,,,
mu_,dummy_nvidia-l4,-0.0512074400441262,0.9500815651275633,,,,,,0.0,,,
mu_,dummy_nvidia-tesla-p100,-0.43276895737602694,0.6487103542344458,,,,,,0.0,,,
mu_,dummy_nvidia-tesla-v100,-0.3053779377343049,0.7368448402911958,,,,,,0.0,,,
mu_,model.trainer.batch_size,-2.288733025667686e-05,0.9999771129316563,2.2768380507044435e-06,-2.734985083468795e-05,-1.842480967866577e-05,0.999972650523169,0.9999815753600572,0.0,-10.052243394999316,8.97994493071534e-24,76.55956767959391
mu_,model.trainer.nb_epoch,-0.0006602942136853513,0.9993399237325667,0.0008044677202292999,-0.0022370219720598233,0.0009164335446891209,0.9977654782968588,1.0009168535982174,0.0,-0.8207839756418637,0.41176932771691066,1.2800917258175395
mu_,predict_proba_time,0.5089739800295887,1.6635834491637747,,,,,,0.0,,,
mu_,Intercept,-7.007986951219092,0.0009046278166075962,,,,,,0.0,,,
sigma_,Intercept,-0.9088522996305828,0.4029864664414104,-0.0,-0.9088522996305828,-0.9088522996305828,0.4029864664414104,0.4029864664414104,0.0,inf,0.0,inf
