param,covariate,coef,exp(coef),se(coef),coef lower 95%,coef upper 95%,exp(coef) lower 95%,exp(coef) upper 95%,cmp to,z,p,-log2(p)
lambda_,accuracy,-0.13578840919539104,0.8730273375038768,0.06122019175616191,-0.2557777801641043,-0.01579903822667776,0.7743140176091352,0.9843251119003326,0.0,-2.2180330590311113,0.026552578420676855,5.235004227272358
lambda_,attack.init.eps,0.647698642603568,1.9111375536574349,0.05053556100581676,0.5486507630936404,0.7467465221134957,1.730916025860092,2.11012359607961,0.0,12.816690459397817,1.3222489137781651e-37,122.50834572062048
lambda_,data.sample.random_state,0.024063111816205154,1.024354964752874,0.0067378529709365385,0.010857162660043334,0.03726906097236697,1.010916315534186,1.0379722610960054,0.0,3.5713322804757586,0.00035516995724197765,11.459202825933135
lambda_,dummy_cifar,-0.4410998065499502,0.6433284949710726,1374378.505688847,-2693732.8133759247,2693731.9311763113,0.0,inf,0.0,-3.209449250873348e-07,0.9999997439229994,3.6944106616032836e-07
lambda_,dummy_cifar100,0.11685902190883758,1.1239609646494124,1374378.505688849,-2693732.2554170997,2693732.489135144,0.0,inf,0.0,8.502681133700279e-08,0.99999993215842,9.787471438145878e-08
lambda_,dummy_mnist,-0.5223800677782363,0.5931072313323367,1374378.505688848,-2693732.894656188,2693731.849896052,0.0,inf,0.0,-3.800845732205451e-07,0.9999996967363872,4.3751697657773365e-07
lambda_,dummy_nvidia-l4,-0.12602907580166528,0.8815892134976417,1425189.7201793492,-2793320.6487173173,2793320.396659166,0.0,inf,0.0,-8.842968344299136e-08,0.9999999294433208,1.017917747252674e-07
lambda_,dummy_nvidia-tesla-p100,-0.49164023292154047,0.6116223678476956,1425189.7201793473,-2793321.0143284714,2793320.0310480054,0.0,inf,0.0,-3.4496476220700776e-07,0.9999997247579422,3.9709040649781927e-07
lambda_,dummy_nvidia-tesla-v100,-0.34390087198225405,0.708999206252083,1425189.720179347,-2793320.86658911,2793320.178787366,0.0,inf,0.0,-2.4130181905815125e-07,0.9999998074690041,2.7776353977582315e-07
lambda_,model.trainer.batch_size,-5.796995244761086e-05,0.9999420317277776,5.128953327520919e-06,-6.802251624793873e-05,-4.791738864728299e-05,0.999931979797231,0.9999520837593726,0.0,-11.30249170655461,1.2754681949159725e-29,95.98488782739845
lambda_,model.trainer.nb_epoch,-0.0004941694026468127,0.9995059526789419,0.0007692814671514401,-0.002001933372237768,0.0010135945669441423,0.9980000691598407,1.001014108427518,0.0,-0.6423778860508166,0.5206278545260641,0.9416755943024651
lambda_,predict_proba_time,0.5646052551928858,1.7587533869097844,0.03505774838520882,0.49589333097880933,0.6333171794069624,1.6419644017414439,1.8838492921564072,0.0,16.105006202597366,2.3527443991856466e-58,191.437484907961
lambda_,Intercept,-6.663687423063358,0.0012764309409451613,,,,,,0.0,,,
rho_,Intercept,0.562882262802299,1.755725677316546,0.01591709412405266,0.5316853315806217,0.5940791940239764,1.7017979870224687,1.8113622636151028,0.0,35.363380929670804,6.244454860290739e-274,907.5657223688066
